traffic_id,case_id,trigger,serving_measurement,run_count,mean_avg_power_unit,gain_vs_case_1_1,gain_ci95_low,gain_ci95_high,arrived_count,delivered_count,completion_rate_pooled,pdb_satisfied_count,pdb_eligible_count,pdb_ratio_pooled,delay_mean_ms_pooled,delay_p90_ms_pooled,mean_window_goodput_mbps,mdr,far,fdr
FTP3,1-1,C-DRX only,NON_EE,8,44.667661828671875,,,,22,22,1.0,16,20,0.8,47.07371677272727,115.16396550000002,15.625,,,
FTP3,1-2,C-DRX with DCP,NON_EE,8,43.38637285365234,0.028684934974525178,0.007532397246802325,0.06816374119253374,22,22,1.0,15,20,0.75,49.508782,118.7353945,15.625,0.0,0.027777777777777776,
FTP3,1-3,C-DRX with DL WUS,NON_EE,8,43.38637285365234,0.028684934974525178,0.007532397246802325,0.06816374119253374,22,22,1.0,15,20,0.75,49.508782,118.7353945,15.625,0.0,0.027777777777777776,
FTP3,1-4,C-DRX with DL WUS,EE,8,40.74034784335937,0.08792298106796326,0.049300346878109136,0.16830620444155564,22,22,1.0,15,20,0.75,49.508782,118.7353945,15.625,0.0,0.027777777777777776,
FTP3,1-5,DL WUS,NON_EE,8,21.169408991308593,0.5260685667294076,0.46420857689584816,0.5829336653477241,22,22,1.0,20,20,1.0,16.79002222727273,19.3055524,17.1875,0.0,0.007952286282306162,
FTP3,1-6,DL WUS,EE,8,18.080073072265623,0.5952312627955791,0.535276605136225,0.6646206811346794,22,22,1.0,20,20,1.0,16.79002222727273,19.3055524,17.1875,0.0,0.007952286282306162,
IM,1-1,C-DRX only,NON_EE,8,10.023981883734375,,,,8,8,1.0,7,7,1.0,119.273176875,260.5679419,0.21875,,,
IM,1-2,C-DRX with DCP,NON_EE,8,8.403962954187499,0.161614311392126,0.1348510186377886,0.19650256139988653,8,8,1.0,6,7,0.8571428571428571,122.39817725,264.1393709,0.21875,0.0,0.010416666666666666,
IM,1-3,C-DRX with DL WUS,NON_EE,8,8.403962954187499,0.161614311392126,0.1348510186377886,0.19650256139988653,8,8,1.0,6,7,0.8571428571428571,122.39817725,264.1393709,0.21875,0.0,0.010416666666666666,
IM,1-4,C-DRX with DL WUS,EE,8,4.647201230292969,0.5363916970127562,0.4598222298163738,0.6362065717753345,8,8,1.0,6,7,0.8571428571428571,122.39817725,264.1393709,0.21875,0.0,0.010416666666666666,
IM,1-5,DL WUS,NON_EE,8,8.41739440758984,0.16027437946107004,0.04881342234531061,0.24708328483780806,8,8,1.0,7,7,1.0,13.945040375,14.9706349,0.25,0.0,0.009223674096848577,
IM,1-6,DL WUS,EE,8,4.716459973242186,0.52948239253151,0.4671365467525282,0.5936080616236379,8,8,1.0,7,7,1.0,13.945040375,14.9706349,0.25,0.0,0.009223674096848577,
