scenario,traffic_id,case_id,seed_count,mean_power_unit,power_sd_across_seeds,gain_vs_1_1,gain_ci95_low,gain_ci95_high,arrived_count,delivered_count,completion_rate_pooled,pdb_satisfied_count,pdb_eligible_count,pdb_ratio_pooled,delay_mean_ms_pooled,delay_p90_ms_pooled
annex_e_wus_mo_4ms,FTP3,1-1,8,33.13411727792969,16.11645495140973,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
annex_e_wus_mo_4ms,FTP3,1-5,8,29.650449218749998,6.448962762039859,0.10513839949193782,-0.18960534345894495,0.28031106467856826,23,23,1.0,18,18,1.0,21.53346,23.340207
annex_e_wus_mo_4ms,FTP3,1-6,8,26.26533203125,6.498049834316224,0.2073024969720536,-0.03757344069899612,0.3527284504036938,23,23,1.0,18,18,1.0,21.53346,23.340207
annex_e_wus_mo_4ms,IM,1-1,8,11.997156869101563,3.0836062648755327,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
annex_e_wus_mo_4ms,IM,1-5,8,20.580708203742198,1.1029240964282847,-0.715465458049265,-0.9995923080932706,-0.49881608378150033,15,15,1.0,14,14,1.0,15.458661,19.0176636
annex_e_wus_mo_4ms,IM,1-6,8,16.899915234992182,1.1203670357059,-0.408660019985033,-0.6342231261978054,-0.2353933629136237,15,15,1.0,14,14,1.0,15.458661,19.0176636
cdrx_offset_80ms,FTP3,1-1,8,40.14562914623047,14.538397856604766,,,,23,23,1.0,14,18,0.7777777777777778,54.983943391304344,120.41857900000002
cdrx_offset_80ms,FTP3,1-5,8,18.853745639648437,7.067462985173086,0.5303661683573656,0.4618110319694606,0.5826472436181475,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
cdrx_offset_80ms,FTP3,1-6,8,15.527533290410156,7.0595844966883154,0.613219829390365,0.5544792549465561,0.6646501067268629,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
cdrx_offset_80ms,IM,1-1,8,13.6939375,2.8771733840074063,,,,15,15,1.0,14,14,1.0,160.2514686,283.7825108
cdrx_offset_80ms,IM,1-5,8,9.208716993605465,1.2509743284590749,0.3275332975920574,0.24778462158894754,0.3971621460252512,15,15,1.0,14,14,1.0,12.9746438,15.0890926
cdrx_offset_80ms,IM,1-6,8,5.554389700765624,1.28846555951707,0.5943906052758292,0.5424838444496479,0.6511028392258404,15,15,1.0,14,14,1.0,12.9746438,15.0890926
ideal_detection,FTP3,1-1,8,33.13411727792969,16.11645495140973,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
ideal_detection,FTP3,1-5,8,16.804581301152343,7.428005264453849,0.49283147759165713,0.33007911884072694,0.5929973703324526,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
ideal_detection,FTP3,1-6,8,13.353225265996093,7.650385100788904,0.5969946881641979,0.46310831371496874,0.6865163566263379,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
ideal_detection,IM,1-1,8,11.997156869101563,3.0836062648755327,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
ideal_detection,IM,1-5,8,6.874958865085935,1.0217093272868292,0.42695099013064886,0.3590354093794478,0.47770212130865986,15,15,1.0,14,14,1.0,13.856230933333334,15.0890926
ideal_detection,IM,1-6,8,3.098475882886717,0.989976938162415,0.7417324857302834,0.7109136801376854,0.7705186484220325,15,15,1.0,14,14,1.0,13.856230933333334,15.0890926
impaired_detection,FTP3,1-1,8,33.13411727792969,16.11645495140973,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
impaired_detection,FTP3,1-5,8,31.785312268925786,6.247086987118688,0.04070743752399075,-0.3026658550892875,0.23873659345633028,23,23,1.0,18,18,1.0,16.35568356521739,21.999180000000003
impaired_detection,FTP3,1-6,8,29.269448679687503,6.756368993708176,0.1166371376616212,-0.19579444784384523,0.2959226978655397,23,23,1.0,18,18,1.0,16.35568356521739,21.999180000000003
impaired_detection,IM,1-1,8,11.997156869101563,3.0836062648755327,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
impaired_detection,IM,1-5,8,23.0759863730039,2.3740682960523034,-0.9234545838469146,-1.264309249462829,-0.6430985482010476,15,15,1.0,14,14,1.0,10.636869933333333,15.9008952
impaired_detection,IM,1-6,8,20.15667692923437,2.6284088187574444,-0.6801211444644428,-0.9820674327781387,-0.4271588390327713,15,15,1.0,14,14,1.0,10.636869933333333,15.9008952
independent_wake_delay_3ms,FTP3,1-1,8,33.13411727792969,16.11645495140973,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
independent_wake_delay_3ms,FTP3,1-5,8,16.81704504505859,5.900952100913887,0.4924553171585392,0.3174578908169605,0.5948176944218144,23,23,1.0,18,18,1.0,10.668697434782608,12.411636
independent_wake_delay_3ms,FTP3,1-6,8,13.325534174804687,5.760239511470148,0.5978304156096925,0.46152172562235977,0.6753169590815961,23,23,1.0,18,18,1.0,10.668697434782608,12.411636
independent_wake_delay_3ms,IM,1-1,8,11.997156869101563,3.0836062648755327,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
independent_wake_delay_3ms,IM,1-5,8,8.836960512742184,0.8669832076589242,0.26341210595473674,0.13969202484453522,0.35731743142759426,15,15,1.0,14,14,1.0,6.856230933333333,8.0890926
independent_wake_delay_3ms,IM,1-6,8,5.126329098949218,0.9539330061368502,0.5727046703746972,0.4967775967318617,0.633807330251777,15,15,1.0,14,14,1.0,6.856230933333333,8.0890926
lr_wus_power_45,FTP3,1-1,8,33.13411727792969,16.11645495140973,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
lr_wus_power_45,FTP3,1-5,8,19.257626411132815,7.055676597124505,0.4187976625542962,0.23535318304433894,0.529982936729153,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
lr_wus_power_45,FTP3,1-6,8,15.931414061894532,7.0477211982449965,0.5191839900770108,0.3692764486938107,0.6040267627950179,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
lr_wus_power_45,IM,1-1,8,11.997156869101563,3.0836062648755327,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
lr_wus_power_45,IM,1-5,8,9.629590054542962,1.2481532463957299,0.19734399077970055,0.07622200038394611,0.2936275043168549,15,15,1.0,14,14,1.0,12.9746438,15.0890926
lr_wus_power_45,IM,1-6,8,5.975262761703121,1.2856194733567035,0.5019434331902177,0.4283132686378324,0.5710862723564373,15,15,1.0,14,14,1.0,12.9746438,15.0890926
measurement_offset_80ms,FTP3,1-1,8,35.99575790292968,15.321243658967413,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
measurement_offset_80ms,FTP3,1-5,8,18.942848578261717,6.788963653192879,0.47374775023920346,0.3462262024922607,0.5502109299062184,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
measurement_offset_80ms,FTP3,1-6,8,15.527533290410156,7.0595844966883154,0.5686287997523626,0.4480146644639357,0.6417039941745655,23,23,1.0,18,18,1.0,17.604889,19.411635999999998
measurement_offset_80ms,IM,1-1,8,13.703508431601563,2.8767258694171103,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
measurement_offset_80ms,IM,1-5,8,9.134663142414059,1.2403355216804288,0.33340697471687775,0.2534762806083335,0.40361177995007136,15,15,1.0,14,14,1.0,12.9746438,15.0890926
measurement_offset_80ms,IM,1-6,8,5.554389700765624,1.28846555951707,0.5946738947555441,0.5431883930017065,0.6512218548260323,15,15,1.0,14,14,1.0,12.9746438,15.0890926
service_rate_1600_mbps,FTP3,1-1,8,31.271138762304687,14.914748657693334,,,,23,23,1.0,10,18,0.5555555555555556,63.181785608695655,136.0434674
service_rate_1600_mbps,FTP3,1-5,8,16.705308139648437,5.592142805464401,0.46579149973951084,0.293310400403627,0.568632585925647,23,23,1.0,18,18,1.0,14.561410739130435,16.7561158
service_rate_1600_mbps,FTP3,1-6,8,13.379095790410155,5.561652613791649,0.5721583440850648,0.4387924681229374,0.646853885615387,23,23,1.0,18,18,1.0,14.561410739130435,16.7561158
service_rate_1600_mbps,IM,1-1,8,11.942100228476562,3.0481178938316265,,,,15,15,1.0,12,14,0.8571428571428571,143.88329593333333,286.397539
service_rate_1600_mbps,IM,1-5,8,9.150513868605467,1.2139169880729723,0.23376008461345954,0.11708846238028554,0.3257268202769791,15,15,1.0,14,14,1.0,12.4746438,14.5890926
service_rate_1600_mbps,IM,1-6,8,5.495795950765624,1.252608294668832,0.539796531127698,0.4704003197865426,0.6061725783295107,15,15,1.0,14,14,1.0,12.4746438,14.5890926
service_rate_400_mbps,FTP3,1-1,8,37.54559400644531,18.976687659031644,,,,23,23,1.0,10,18,0.5555555555555556,73.82043365217392,147.0519476
service_rate_400_mbps,FTP3,1-5,8,23.731767091464846,10.490400786213991,0.36792138413389064,0.1700324159836008,0.4877823732758976,23,23,1.0,18,18,1.0,23.133899869565216,27.012606
service_rate_400_mbps,FTP3,1-6,8,20.405833761757812,10.532151220248242,0.45650523578732516,0.28458667487254885,0.5589944710156957,23,23,1.0,18,18,1.0,23.133899869565216,27.012606
service_rate_400_mbps,IM,1-1,8,12.109373137851563,3.1579977783918975,,,,15,15,1.0,12,14,0.8571428571428571,145.48329593333332,287.897539
service_rate_400_mbps,IM,1-5,8,9.329865120843747,1.332586512405111,0.22953360057256889,0.11349265642165547,0.3217077865518314,15,15,1.0,14,14,1.0,13.974643933333333,16.0890926
service_rate_400_mbps,IM,1-6,8,5.676263274097655,1.3675122096171266,0.5312504446365806,0.45981995291104716,0.5994628390597446,15,15,1.0,14,14,1.0,13.974643933333333,16.0890926
wus_offset_2p5ms,FTP3,1-1,8,33.13411727792969,16.11645495140973,,,,23,23,1.0,10,18,0.5555555555555556,66.66004647826087,139.0434674
wus_offset_2p5ms,FTP3,1-5,8,19.006253996464842,7.118249165121439,0.4263841756507356,0.2432413249609503,0.535915178553021,23,23,1.0,18,18,1.0,16.62662813043478,18.390264
wus_offset_2p5ms,FTP3,1-6,8,15.586652996093749,7.146955010579108,0.5295890074465371,0.3784523129068744,0.6146188666096862,23,23,1.0,18,18,1.0,16.62662813043478,18.390264
wus_offset_2p5ms,IM,1-1,8,11.997156869101563,3.0836062648755327,,,,15,15,1.0,12,14,0.8571428571428571,144.41662926666666,286.897539
wus_offset_2p5ms,IM,1-5,8,9.278581104355466,1.1894556259048537,0.22660166857930608,0.11212593687498718,0.3169577101755762,15,15,1.0,14,14,1.0,12.307977133333333,15.160705
wus_offset_2p5ms,IM,1-6,8,5.594286463656249,1.2104929144985017,0.5336989817925761,0.4660948380064961,0.5939549358966766,15,15,1.0,14,14,1.0,12.307977133333333,15.160705
